year,today,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,ratoon_no,sugarDAS,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalN2O,totalCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigFreq,MillMudAmt,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,sucroseTH,IrrigAlloc
1966,14/10/1966,287,1965,15-Apr,2,sugar,alive,3,395,1962,14/9/1965,105,0,0,318,1966,21,2039,6761.18,6003.17,5255.16,161.408,3162.59,,16104.235,6441.694,65.507,21.2,74.598,74.598,1.307,9290.202,9291.509,143058.273,0.806,42,8400,392.1,664.434,6580.557,213.228,1229.345,323.685,1553.03,52.362,9277.75,1.635,9279.385,142748.933,200,230.513,312.986,41.635,0.188,20.497,7.794,6967.534,350,0.952,4336.5,15.9,1734.6,0,0,17.785,28.871,19.833,102.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8792.1,8613.228,7244.991,7568.676,62.32,20.685,1.87395480532966,0.103931025157273,1.82381920903955,0.80704,31.626,999
1967,14/11/1967,318,1966,15-Apr,2,sugar,alive,4,396,1962,14/10/1966,105,0,0,318,1967,21,2039,6951.75,6214.95,5434.91,168.025,3230.33,,16487.17,6594.868,67.299,20.747,68.677,68.677,1.635,9277.75,9279.385,142748.933,0.799,39,7800,821.8,808.758,6219.759,330.824,1249.53,340.496,1590.025,53.174,9254.746,1.869,9256.615,142617.213,200,233.214,323.212,54.012,0.354,17.086,9.968,6850.175,350,0.935,3897.1,14.3,1558.8,0,0,18.229,28.885,20.191,154.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8621.8,8130.824,7028.517,7369.013,71.452,17.44,2.06651871938195,0.105674439081147,2.03666666666667,0.840125,32.303,999
1968,14/04/1968,105,0,15-Apr,2,none,out,-1,0,1962,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,,16205.654,6482.263,66.122,0,71.935,71.935,1.869,9254.746,9256.615,142617.213,0.793,0,0,1341.7,146.365,845.204,449.813,0,275.48,275.48,40.045,9345.738,8.72,9354.457,145133.015,0,0,12.273,0.559,0.035,0.604,0.047,3909.236,350,0,0.5,0,0.2,0,0,22.329,31.086,21.557,187.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,1341.7,449.813,991.569,1267.049,1.198,0.639,0,0,0,,0,999
1969,14/07/1969,195,1968,15-Apr,3,sugar,alive,0,456,1968,14/4/1968,105,0,0,318,1969,21,2039,8937.26,8049.48,7046.43,219.024,4005.19,,0,0,0,19.592,146.586,146.586,8.72,9345.738,9354.457,145133.015,0.794,46,9200,302.7,311.72,7158.674,218.859,1664.978,425.524,2090.502,145.413,9173.866,2.062,9175.928,141428.482,200,325.812,405.194,44.107,0.079,49.902,8.676,7235.426,350,0.974,5192.9,19,2077.2,0,0,17.239,28.858,19.267,46.5,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,9502.7,9418.859,7470.394,7895.918,94.088,49.981,2.32537720333217,0.104771007155219,2.26967875647668,1.09512,40.052,999
1970,15/08/1970,227,1969,15-Apr,3,sugar,alive,1,397,1968,14/7/1969,105,0,1,318,1970,20,2039,6593.98,5877.02,5190.88,159.91,2924.98,,20486.045,8194.418,82.683,19.598,88.39,88.39,2.062,9173.866,9175.928,141428.482,0.778,40,8000,667.3,453.988,6497.023,351.73,1296.872,364.433,1661.306,88.002,9162.406,1.283,9163.689,141582.839,200,251.42,311.472,25.011,0.058,16.758,4.875,6851.538,350,0.926,3726.3,13.7,1490.5,0,0,17.436,29.26,20.243,133.6,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8667.3,8351.73,6951.011,7315.444,41.827,16.816,1.91469312346065,0.0962555965005845,1.89242603550296,0.79955,29.25,999
1971,15/09/1971,258,1970,15-Apr,3,sugar,alive,2,396,1968,15/8/1970,105,0,1,319,1971,20,2040,6544.8,5887.44,5120.74,158.255,3062.7,,15093.738,6037.496,59.068,20.904,143.373,143.373,1.283,9162.406,9163.689,141582.839,0.775,35,7000,1226,738.963,5937.721,615.568,1204.358,355.783,1560.142,42.741,9154.021,1.486,9155.507,141666.515,200,213.293,300.357,37.097,0.112,38.459,6.958,6575.011,350,0.923,3667.1,13.4,1466.9,0,0,17.459,28.701,19.598,220,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8226,7615.568,6676.684,7032.467,75.668,38.571,2.07804591857101,0.101436279518146,2.12422818791946,0.791275,30.627,999
1972,14/10/1972,288,1971,15-Apr,3,sugar,alive,3,395,1968,15/9/1971,105,0,1,319,1972,20,2040,6998.14,6328.02,5470.89,169.699,3321.49,,15221.581,6088.632,60.128,21.175,132.548,132.548,1.486,9154.021,9155.507,141666.515,0.768,40,8000,1328.3,927.844,6792.434,396.963,1324.888,332.123,1657.011,48.497,9140.974,1.467,9142.441,141655.095,200,227.919,308.277,39.491,0.169,26.082,7.343,6657.931,350,0.937,3955.2,14.5,1582.1,0,0,16.795,28.832,20.11,206.2,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,9328.3,8396.963,7720.278,8052.401,65.742,26.251,2.02095686261807,0.102412717839532,2.00827218934911,0.848495,33.215,999
1973,18/11/1973,322,1972,15-Apr,3,sugar,alive,4,400,1968,14/10/1972,105,0,5,319,1973,16,2040,6917.87,6154.97,5376.86,165.461,3154.18,,16343.573,6537.43,67.549,20.547,83.559,83.559,1.467,9140.974,9142.441,141655.095,0.762,37,7400,1238.1,895.564,6117.04,579.98,1220.066,342.921,1562.988,43.518,9127.752,1.948,9129.7,141521.983,200,234.501,316.676,43.365,0.263,19.158,8.094,7112.289,350,0.933,3856.3,14.1,1542.5,0,0,18.856,29.245,19.795,108.5,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8638.1,7979.98,7012.604,7355.525,62.786,19.421,2.07345131190805,0.105861977187285,2.10778343949045,0.827305,31.542,999
1974,15/04/1974,105,0,15-Apr,3,none,out,-1,0,1968,0.000,105,0,5,323,-1,16,2044,0,0,0,0,0,,16376.423,6550.569,63.817,0,146.067,146.067,1.948,9127.752,9129.7,141521.983,0.757,0,0,1721.8,346.978,991.929,503.69,0,362.589,362.589,47.169,9218.122,9.308,9227.43,144272.331,0,0,16.18,1.429,0.141,0.85,0.093,3715.433,350,0,0.2,0,0.1,0,0,22.326,30.147,17.324,152.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,1721.8,503.69,1338.907,1701.496,2.42,0.991,0,0,0,,0,999
1975,15/07/1975,196,1974,15-Apr,4,sugar,alive,0,456,1974,15/4/1974,105,0,0,318,1975,21,2039,9159.49,8208.45,7263.78,225.053,3910.84,,0,0,0,18.474,166.371,166.371,9.308,9218.122,9227.43,144272.331,0.758,42,8400,763.6,448.941,6831.145,510.781,1575.371,396.067,1971.438,132.82,9073.6,2.106,9075.705,140527.105,200,308.718,377.766,38.23,0.131,47.022,7.524,7344.563,350,0.984,5910.7,21.7,2364.3,0,0,17.001,28.293,19.228,65,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,9163.6,8910.781,7280.086,7676.153,85.383,47.153,2.52562598048364,0.114156772873405,2.54297175141243,1.125265,39.108,999
