year,today,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,ratoon_no,sugarDAS,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalN2O,totalCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigFreq,MillMudAmt,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,sucroseTH,IrrigAlloc
1966,18/10/1966,291,1965,15-Apr,2,sugar,alive,3,395,1962,18/9/1965,109,4,0,322,1966,17,2039,6761.29,6035.72,5264.63,162.223,3132.41,,0,0,0,20.85,66.962,66.962,1.108,9676.935,9678.043,151665.492,0.933,22,2420,392.1,164.635,1345.056,268.126,1192.304,123.823,1316.128,1.123,9729.689,1.214,9730.903,153419.431,200,277.862,415.366,24.885,0.001,5.289,5.281,11733.63,350,0.905,3370,12.5,1348,0,0,17.853,28.881,19.841,102.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,2812.1,2688.126,1509.691,1633.514,30.175,5.29,6.03479896403666,0.123257768241387,5.6523693379791,0.811115,31.324,999
1967,18/11/1967,322,1966,15-Apr,2,sugar,alive,4,396,1962,18/10/1966,109,4,0,322,1967,17,2039,6717.29,6009.06,5243.71,162.186,3118.53,,0,0,0,20.751,53.243,53.243,1.214,9729.689,9730.903,153419.431,0.944,20,2200,821.8,259.227,1441.539,411.946,1166.989,151.287,1318.275,1.576,9752.719,1.435,9754.154,154818.028,200,289.54,433.738,37.818,0.002,4,7.582,11702.564,350,0.884,3073,11.4,1229.2,0,0,18.233,28.911,20.219,154.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,3021.8,2611.946,1700.766,1852.053,41.82,4.002,6.20939330292433,0.123028958297776,6.12022641509434,0.81093,31.185,999
1968,14/04/1968,105,0,15-Apr,2,none,out,-1,0,1962,0.000,105,0,0,322,-1,17,2039,0,0,0,0,0,,0,0,0,0,56.001,56.001,1.435,9752.719,9754.154,154818.028,0.95,0,0,1341.7,507.223,690.395,364.321,0,13.828,13.828,0,9887.52,5.992,9893.511,158069.175,0,0,59.753,1.105,0.016,0.618,0.159,5478.234,350,0.998,9098.4,40.6,3639.4,0,0,22.382,31.066,21.388,187.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,1341.7,364.321,1197.618,1211.446,1.739,0.634,0,0,0,,0,999
1969,14/07/1969,195,1968,15-Apr,3,sugar,alive,0,456,1968,14/4/1968,105,0,0,318,1969,21,2039,7975.71,7170.56,6207.09,192.183,3534.7,,0,0,0,19.723,186.255,186.255,5.992,9887.52,9893.511,158069.175,0.96,24,2640,302.7,193.457,1141.172,248.202,1414.622,302.316,1716.937,2.585,9693.108,1.999,9695.107,155225.571,200,433.523,511.068,42.977,0.006,9.221,8.488,10669.562,350,0.851,2721.1,10,1088.4,0,0,17.239,28.858,19.267,46.5,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,2942.7,2888.202,1334.629,1636.945,52.204,9.227,6.65407059478527,0.111933635305198,6.2195145631068,0.960915,35.347,999
1970,14/08/1970,226,1969,15-Apr,3,sugar,alive,1,396,1968,14/7/1969,105,0,0,318,1970,21,2039,6781.17,6078.86,5263.88,162.546,3028.53,,0,0,0,20.017,77.39,77.39,1.999,9693.108,9695.107,155225.571,0.94,19,2090,667.3,85.275,1230.551,412.887,1274.597,124.723,1399.32,1.254,9751.105,1.839,9752.944,156380.623,200,290.511,432.929,21.234,0.002,5.733,4.686,12614.06,350,0.859,2798.6,10.5,1119.4,0,0,17.457,29.272,20.242,133.6,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,2757.3,2502.887,1315.826,1440.549,26.969,5.735,6.49434033578024,0.116160706628934,6.39944881889764,0.81273,30.285,999
1971,14/09/1971,257,1970,15-Apr,3,sugar,alive,2,396,1968,14/8/1970,105,0,0,318,1971,21,2039,6836.76,6204.7,5349.8,166.371,3195.29,,0,0,0,20.723,119.544,119.544,1.839,9751.105,9752.944,156380.623,0.955,18,1980,1226,227.769,1620.931,719.778,1216.671,153.014,1369.685,2.422,9772.357,2.354,9774.711,157450.186,200,291.396,426.727,22.36,0.003,14.889,4.87,12005.823,350,0.843,2648,9.8,1059.2,0,0,17.442,28.692,19.601,220,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,3206,2699.778,1848.7,2001.714,37.252,14.892,6.16239557474726,0.121466614586566,6.84654320987654,0.831855,31.953,999
1972,13/10/1972,287,1971,15-Apr,3,sugar,alive,3,395,1968,14/9/1971,105,0,0,318,1972,21,2039,6817.67,6193.82,5307.7,165.024,3208.98,,0,0,0,21.018,107.159,107.159,2.354,9772.357,9774.711,157450.186,0.96,20,2200,1328.3,445.51,1711.733,453.7,1258.803,154.254,1413.056,1.748,9798.088,1.271,9799.359,158505.945,200,288.885,426.135,28.365,0.006,8.309,5.784,11853.377,350,0.871,2923.8,10.8,1169.5,0,0,16.804,28.821,20.091,206.2,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,3528.3,2653.7,2157.243,2311.497,36.68,8.315,6.2186381278969,0.116785180488247,6.22732075471698,0.82512,32.09,999
1973,17/11/1973,321,1972,15-Apr,3,sugar,alive,4,400,1968,13/10/1972,105,0,4,318,1973,17,2039,7020.72,6300.83,5429.07,167.951,3205.95,,0,0,0,20.579,65.16,65.16,1.271,9798.088,9799.359,158505.945,0.965,20,2200,1238.1,394.591,1607.155,670.551,1200.689,161.104,1361.793,2.003,9816.743,2.509,9819.253,159257.382,200,304.256,443.157,30.051,0.005,5.104,6.047,12720.576,350,0.802,2311.3,8.5,924.5,0,0,18.843,29.254,19.804,108.5,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,3438.1,2870.551,2001.746,2162.85,35.16,5.109,5.85082794209195,0.12333078522213,6.33777358490566,0.839755,32.06,999
1974,15/04/1974,105,0,15-Apr,3,none,out,-1,0,1968,0.000,105,0,4,322,-1,17,2043,0,0,0,0,0,,0,0,0,0,139.721,139.721,2.509,9816.743,9819.253,159257.382,0.97,0,0,1721.8,903.075,741.194,286.434,0,8.668,8.668,0,9950.542,4.662,9955.204,162574.148,0,0,43.857,1.279,0.067,0.603,0.134,5134.561,350,0.999,10722.3,44.6,4288.9,0,0,22.293,30.139,17.364,152.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,1721.8,286.434,1644.269,1652.937,1.949,0.67,0,0,0,,0,999
1975,15/07/1975,196,1974,15-Apr,4,sugar,alive,0,456,1974,15/4/1974,105,0,0,318,1975,21,2039,8487.61,7559.33,6623.82,204.134,3539.09,,0,0,0,18.425,208.584,208.584,4.662,9950.542,9955.204,162574.148,0.978,20,2200,763.6,237.1,1203.04,542.02,1407.198,259.978,1667.176,2.391,9799.546,1.842,9801.388,159296.104,200,410.084,478.148,27.78,0.015,9.323,5.599,11922.037,350,0.912,3471.7,12.7,1388.7,0,0,17.001,28.293,19.228,65,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,2963.6,2742.02,1440.14,1700.118,37.118,9.338,7.4446575882014,0.122442981424877,7.70316981132075,1.02067,35.391,999
